,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,season,team,comp
0,2019-08-16,20:30,Matchweek 1,Fri,Home,D,2.0,2.0,Hertha BSC,2.5,1.1,70.0,75000.0,Manuel Neuer,4-3-3,Harm Osmers,Match Report,,2,16,6,37.5,0.06,0.17,17.0,1.0,1,1,1.7,0.11,-0.5,-0.7,2019-2020,Bayern Munich,
1,2019-08-24,18:30,Matchweek 2,Sat,Away,W,3.0,0.0,Schalke 04,1.5,0.8,66.0,62271.0,Manuel Neuer,4-3-3,Marco Fritz,Match Report,,3,9,5,55.6,0.22,0.4,17.4,1.0,1,1,0.8,0.09,1.5,1.2,2019-2020,Bayern Munich,
2,2019-08-31,15:30,Matchweek 3,Sat,Home,W,6.0,1.0,Mainz 05,2.9,0.8,67.0,75000.0,Manuel Neuer,4-2-3-1,Markus Schmidt,Match Report,,6,18,9,50.0,0.33,0.67,15.6,2.0,0,0,2.9,0.16,3.1,3.1,2019-2020,Bayern Munich,
3,2019-09-14,18:30,Matchweek 4,Sat,Away,D,1.0,1.0,RB Leipzig,1.4,1.5,68.0,42146.0,Manuel Neuer,4-2-3-1,Sascha Stegemann,Match Report,,1,14,7,50.0,0.07,0.14,16.8,0.0,0,0,1.4,0.1,-0.4,-0.4,2019-2020,Bayern Munich,
4,2019-09-21,15:30,Matchweek 5,Sat,Home,W,4.0,0.0,Köln,2.7,1.2,60.0,75000.0,Manuel Neuer,4-2-3-1,Patrick Ittrich,Match Report,,4,24,4,16.7,0.13,0.75,18.1,1.0,1,1,1.9,0.08,1.3,1.1,2019-2020,Bayern Munich,
5,2019-09-28,15:30,Matchweek 6,Sat,Away,W,3.0,2.0,Paderborn 07,3.1,0.3,64.0,15000.0,Manuel Neuer,4-2-3-1,Felix Zwayer,Match Report,,3,18,6,33.3,0.17,0.5,16.1,1.0,0,0,3.1,0.17,-0.1,-0.1,2019-2020,Bayern Munich,
6,2019-10-05,15:30,Matchweek 7,Sat,Home,L,1.0,2.0,Hoffenheim,2.1,0.8,64.0,75000.0,Manuel Neuer,4-2-3-1,Tobias Stieler,Match Report,,1,20,4,20.0,0.05,0.25,17.4,0.0,0,0,2.1,0.11,-1.1,-1.1,2019-2020,Bayern Munich,
7,2019-10-19,15:30,Matchweek 8,Sat,Away,D,2.0,2.0,Augsburg,3.1,2.3,77.0,30660.0,Manuel Neuer,4-2-3-1,Daniel Siebert,Match Report,,2,24,8,33.3,0.08,0.25,17.0,0.0,0,0,3.1,0.13,-1.1,-1.1,2019-2020,Bayern Munich,
8,2019-10-26,15:30,Matchweek 9,Sat,Home,W,2.0,1.0,Union Berlin,2.7,1.7,65.0,75000.0,Manuel Neuer,4-1-4-1,Marco Fritz,Match Report,,2,20,10,50.0,0.1,0.2,18.6,0.0,0,0,2.7,0.14,-0.7,-0.7,2019-2020,Bayern Munich,
9,2019-11-02,15:30,Matchweek 10,Sat,Away,L,1.0,5.0,Eint Frankfurt,1.7,3.3,60.0,51500.0,Manuel Neuer,4-2-3-1,Markus Schmidt,Match Report,,1,8,3,37.5,0.13,0.33,15.4,0.0,0,0,1.7,0.21,-0.7,-0.7,2019-2020,Bayern Munich,
