,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,att (gk),thr,launch%,avglen,att,launch%,avglen,opp,stp,stp%,#opa,avgdist,totdist,prgdist,ast,xag,xa,kp,1/3,ppa,crspa,prgp,live,dead,tb,sw,crs,ti,ck,in,out,str,off,blocks,sca,passlive,passdead,to,fld,def,gca,passlive,passdead,to,fld,def,tkl,tklw,def 3rd,mid 3rd,att 3rd,tkl,tkl%,lost,pass,int,tkl+int,clr,err,touches,def pen,att pen,succ,succ%,tkld,tkld%,carries,prgc,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,pkwon,pkcon,og,recov,won,won%,season,team
0,2019-08-09,20:00,Matchweek 1,Fri,Home,W,4.0,1.0,Norwich City,1.8,0.9,57.0,53333.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,3,15,7,46.7,0.2,0.43,17.1,1,0,0,1.8,0.12,1.2,1.2,5,4,66.7,0,1.3,0.1,0,0,0,3,7,42.9,24,1,25.0,31.9,6,16.7,23.7,1,0,0.0,1,14.5,7145,2296,3,1.6,1.4,12,33,16,4,54,478,50,0,2,32,18,11,2,6,0,0,11,25,19,1,1,2,1,5,4,1,0,0,0,21,13,9,10,2,5,33.3,10,9,14,35,6,1,627,44,35,11,73.3,4,26.7,383,32,10,14,8,408,54,0,0,0,9,0,0,0,54,15,68.2,2019-2020,Liverpool
1,2019-08-17,15:00,Matchweek 2,Sat,Away,W,2.0,1.0,Southampton,1.3,1.9,63.0,31712.0,James Milner,4-3-3,Andre Marriner,Match Report,,2,15,6,40.0,0.13,0.33,18.6,1,0,0,1.3,0.09,0.7,0.7,3,2,66.7,0,0.3,-0.7,0,0,0,1,6,16.7,24,6,16.7,26.3,11,18.2,25.1,13,0,0.0,0,7.0,8357,2741,2,1.2,0.6,12,32,10,2,36,525,64,4,9,24,29,9,2,4,0,1,16,26,21,1,1,2,0,4,3,0,1,0,0,7,2,2,4,1,1,9.1,10,5,10,17,30,2,707,70,19,10,55.6,8,44.4,443,24,7,15,7,444,35,1,0,0,6,0,0,0,52,19,55.9,2019-2020,Liverpool
2,2019-08-24,17:30,Matchweek 3,Sat,Home,W,3.0,1.0,Arsenal,2.5,1.0,52.0,53298.0,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,3,24,4,16.7,0.08,0.5,18.8,0,1,1,1.7,0.07,0.5,0.3,3,2,66.7,0,0.6,-0.4,0,0,0,3,7,42.9,16,4,31.3,34.5,10,20.0,29.3,9,0,0.0,4,21.8,8579,2843,2,1.5,1.5,19,46,14,2,64,558,45,1,7,27,19,6,0,4,0,1,9,46,37,4,3,1,0,6,3,1,1,1,0,25,17,3,12,10,7,33.3,14,5,9,34,14,2,714,40,47,9,60.0,6,40.0,494,38,13,16,10,500,64,1,0,0,8,1,0,0,54,7,38.9,2019-2020,Liverpool
3,2019-08-31,17:30,Matchweek 4,Sat,Away,W,3.0,0.0,Burnley,1.0,0.9,63.0,21762.0,Jordan Henderson,4-3-3,Chris Kavanagh,Match Report,,2,15,7,46.7,0.13,0.29,21.0,0,0,0,1.0,0.07,1.0,1.0,2,2,100.0,1,1.0,1.0,0,0,0,5,14,35.7,38,8,28.9,31.9,8,37.5,37.3,11,0,0.0,0,11.7,8209,2747,2,0.8,0.6,12,30,11,0,52,566,50,2,5,18,22,4,0,3,0,1,6,27,21,1,1,1,2,3,3,0,0,0,0,11,6,4,4,3,4,40.0,6,7,9,20,20,1,706,68,21,10,55.6,8,44.4,475,28,5,12,6,464,52,0,0,0,16,0,0,0,61,23,52.3,2019-2020,Liverpool
4,2019-09-14,12:30,Matchweek 5,Sat,Home,W,3.0,1.0,Newcastle Utd,3.0,0.3,74.0,51430.0,Virgil van Dijk,4-3-3,Andre Marriner,Match Report,,3,21,8,38.1,0.14,0.38,13.6,0,0,0,3.0,0.14,0.0,0.0,1,0,0.0,0,0.3,-0.7,0,0,0,2,3,66.7,20,4,15.0,22.9,4,0.0,14.3,5,0,0.0,0,13.0,13568,3730,2,2.1,2.0,19,66,18,3,79,857,41,2,10,34,13,10,0,7,0,2,13,38,28,5,2,1,1,5,2,0,2,0,1,13,11,1,9,3,8,47.1,9,5,8,21,8,0,994,38,45,10,55.6,8,44.4,786,22,8,20,12,786,76,0,0,0,5,0,0,0,65,25,65.8,2019-2020,Liverpool
5,2019-09-22,16:30,Matchweek 6,Sun,Away,W,2.0,1.0,Chelsea,0.6,1.3,45.0,40638.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,2,6,3,50.0,0.33,0.67,13.9,0,0,0,0.6,0.09,1.4,1.4,2,1,50.0,0,1.1,0.1,0,0,0,5,15,33.3,23,3,47.8,40.7,11,36.4,30.2,23,2,8.7,2,14.6,5737,2275,2,0.6,1.0,6,28,9,3,34,396,61,1,7,10,29,4,0,2,0,1,10,11,7,3,0,1,0,4,1,2,0,1,0,11,5,2,8,1,2,22.2,7,5,12,23,40,0,573,76,21,8,80.0,2,20.0,321,9,3,14,13,333,33,3,0,0,13,0,0,0,60,18,47.4,2019-2020,Liverpool
6,2019-09-28,12:30,Matchweek 7,Sat,Away,W,1.0,0.0,Sheffield Utd,1.9,1.3,70.0,31774.0,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,1,16,4,25.0,0.06,0.25,19.2,1,0,0,1.9,0.12,-0.9,-0.9,2,2,100.0,1,0.2,0.2,0,0,0,5,10,50.0,26,7,34.6,35.0,9,11.1,23.2,14,2,14.3,2,15.8,11395,3278,0,1.1,1.1,6,35,12,0,48,715,46,1,10,23,23,5,2,2,0,1,10,23,17,2,2,0,0,2,2,0,0,0,0,11,9,5,5,1,3,27.3,8,8,6,17,27,0,866,71,26,7,58.3,5,41.7,602,24,5,15,6,635,47,1,0,0,4,0,0,0,51,26,56.5,2019-2020,Liverpool
7,2019-10-05,15:00,Matchweek 8,Sat,Home,W,2.0,1.0,Leicester City,3.5,0.1,51.0,53322.0,James Milner,4-3-3,Chris Kavanagh,Match Report,,2,17,7,41.2,0.06,0.14,15.0,1,1,1,2.8,0.17,-1.5,-1.8,1,0,0.0,0,0.0,-1.0,0,0,0,7,13,53.8,27,7,48.1,37.5,1,0.0,38.0,16,1,6.3,0,5.5,7570,2742,1,2.1,1.5,14,31,10,3,36,494,57,5,6,17,33,4,1,2,0,3,10,32,24,2,3,2,0,3,2,0,0,1,0,19,10,9,7,3,12,48.0,13,8,14,33,28,0,685,65,31,16,66.7,8,33.3,452,37,11,16,8,422,36,1,0,0,9,1,0,0,72,11,39.3,2019-2020,Liverpool
8,2019-10-20,16:30,Matchweek 9,Sun,Away,D,1.0,1.0,Manchester Utd,1.2,0.7,66.0,73737.0,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,,1,10,4,40.0,0.1,0.25,19.0,0,0,0,1.2,0.12,-0.2,-0.2,2,1,50.0,0,0.5,-0.5,0,0,0,3,6,50.0,34,5,17.6,27.1,4,0.0,16.8,10,1,10.0,0,10.2,9615,3075,1,1.1,1.0,9,39,9,3,47,665,35,0,3,25,18,1,1,0,0,1,6,19,16,1,1,1,0,2,2,0,0,0,0,18,10,5,9,4,8,50.0,8,8,10,28,19,0,813,53,13,5,55.6,4,44.4,534,25,1,26,6,567,45,1,0,0,14,0,0,0,69,25,71.4,2019-2020,Liverpool
9,2019-10-27,16:30,Matchweek 10,Sun,Home,W,2.0,1.0,Tottenham,2.6,1.2,67.0,53222.0,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,2,20,12,60.0,0.05,0.08,16.4,1,1,1,1.8,0.09,-0.6,-0.8,4,3,75.0,0,1.0,0.0,0,0,0,6,14,42.9,29,2,41.4,34.1,8,25.0,32.0,9,0,0.0,1,18.3,10154,3237,0,1.7,1.3,16,45,17,6,66,636,53,0,8,34,22,8,1,3,2,0,15,38,25,6,2,3,0,3,2,0,0,1,0,20,15,2,15,3,6,46.2,7,8,12,32,9,0,802,51,38,6,35.3,11,64.7,545,26,4,22,5,560,66,3,0,0,9,1,0,0,60,22,57.9,2019-2020,Liverpool
