,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,att (gk),thr,launch%,avglen,att,launch%,avglen,opp,stp,stp%,#opa,avgdist,season,team
0,2023-08-13,16:30,Matchweek 1,Sun,Away,D,1.0,1.0,Chelsea,1.3,1.4,35.0,40096.0,Virgil van Dijk,4-3-3,Anthony Taylor,Match Report,,1,13,1,7.7,0.08,1.0,17.8,0,0,0,1.3,0.1,-0.3,-0.3,4,3,75.0,0,1.4,0.4,0,0,0,1,6,16.7,21,6,14.3,25.3,10,40.0,36.6,18,1,5.6,0,12.0,2023-2024,Liverpool
1,2023-08-19,15:00,Matchweek 2,Sat,Home,W,3.0,1.0,Bournemouth,3.0,1.3,64.0,53145.0,Virgil van Dijk,4-3-3,Thomas Bramall,Match Report,,3,25,9,36.0,0.12,0.33,16.8,1,0,1,2.1,0.09,0.0,0.9,5,4,80.0,0,1.3,0.3,0,0,0,4,12,33.3,46,6,15.2,25.2,10,60.0,44.5,6,1,16.7,2,22.0,2023-2024,Liverpool
2,2023-08-27,16:30,Matchweek 3,Sun,Away,W,2.0,1.0,Newcastle Utd,0.9,2.0,41.0,52214.0,Virgil van Dijk,4-3-3,John Brooks,Match Report,,2,9,4,44.4,0.22,0.5,17.2,1,0,0,0.9,0.1,1.1,1.1,8,7,87.5,0,1.3,0.3,0,0,0,1,14,7.1,35,6,22.9,28.6,14,50.0,41.7,11,0,0.0,0,5.0,2023-2024,Liverpool
3,2023-09-03,14:00,Matchweek 4,Sun,Home,W,3.0,0.0,Aston Villa,2.5,0.7,63.0,50109.0,Trent Alexander-Arnold,4-3-3,Simon Hooper,Match Report,,2,17,4,23.5,0.12,0.5,14.7,0,0,0,2.5,0.15,-0.5,-0.5,3,3,100.0,1,0.2,0.2,0,0,0,3,4,75.0,29,3,13.8,21.9,7,0.0,20.9,9,1,11.1,2,15.2,2023-2024,Liverpool
4,2023-09-16,12:30,Matchweek 5,Sat,Away,W,3.0,1.0,Wolves,2.5,0.6,65.0,31257.0,Andrew Robertson,4-3-3,Michael Oliver,Match Report,,2,16,5,31.3,0.13,0.4,15.8,0,0,0,2.5,0.16,-0.5,-0.5,2,1,50.0,0,0.1,-0.9,0,0,0,2,4,50.0,33,5,9.1,23.9,8,12.5,23.0,11,0,0.0,2,25.7,2023-2024,Liverpool
5,2023-09-24,14:00,Matchweek 6,Sun,Home,W,3.0,1.0,West Ham,3.0,1.1,63.0,50136.0,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,,3,21,6,28.6,0.1,0.33,19.3,2,1,1,2.2,0.11,0.0,-0.2,4,3,75.0,0,1.4,0.4,0,0,0,2,4,50.0,36,7,11.1,23.9,1,0.0,7.0,14,1,7.1,2,17.2,2023-2024,Liverpool
6,2023-09-30,17:30,Matchweek 7,Sat,Away,L,1.0,2.0,Tottenham,1.3,2.2,36.0,62001.0,Virgil van Dijk,4-3-3,Simon Hooper,Match Report,,1,12,4,33.3,0.08,0.25,14.9,0,0,0,1.3,0.11,-0.3,-0.3,8,7,75.0,0,2.2,1.2,0,0,0,8,21,38.1,48,7,39.6,33.4,7,28.6,31.3,21,1,4.8,0,11.3,2023-2024,Liverpool
7,2023-10-08,14:00,Matchweek 8,Sun,Away,D,2.0,2.0,Brighton,2.3,2.3,54.0,31752.0,Virgil van Dijk,4-3-3,Anthony Taylor,Match Report,,2,13,3,23.1,0.08,0.33,18.8,0,1,1,1.6,0.12,-0.3,-0.6,3,1,33.3,0,1.3,-0.7,0,0,0,2,8,25.0,54,5,11.1,24.5,6,33.3,26.7,11,0,0.0,2,25.0,2023-2024,Liverpool
8,2023-10-21,12:30,Matchweek 9,Sat,Home,W,2.0,0.0,Everton,2.2,0.1,77.0,50201.0,Virgil van Dijk,4-3-3,Craig Pawson,Match Report,,2,25,5,20.0,0.04,0.2,22.4,1,1,1,1.4,0.06,-0.2,-0.4,1,1,100.0,1,0.0,0.0,0,0,0,1,1,100.0,35,5,2.9,20.5,5,0.0,18.0,6,2,33.3,2,21.8,2023-2024,Liverpool
9,2023-10-29,14:00,Matchweek 10,Sun,Home,W,3.0,0.0,Nott'ham Forest,3.2,0.4,72.0,50143.0,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,,3,21,8,38.1,0.14,0.38,19.5,2,0,0,3.2,0.16,-0.2,-0.2,1,1,100.0,1,0.0,0.0,0,0,0,4,4,100.0,38,6,5.3,21.7,4,50.0,34.8,8,1,12.5,4,25.4,2023-2024,Liverpool
10,2023-11-05,16:30,Matchweek 11,Sun,Away,D,1.0,1.0,Luton Town,2.6,0.8,73.0,11049.0,Virgil van Dijk,4-3-3,Andy Madley,Match Report,,1,24,6,25.0,0.04,0.17,17.5,0,0,0,2.6,0.12,-1.6,-1.6,5,4,80.0,0,1.2,0.2,0,0,0,1,2,50.0,36,3,5.6,19.9,3,33.3,34.7,14,0,0.0,3,19.3,2023-2024,Liverpool
11,2023-11-12,14:00,Matchweek 12,Sun,Home,W,3.0,0.0,Brentford,1.7,1.6,59.0,50151.0,Virgil van Dijk,4-3-3,Paul Tierney,Match Report,,3,17,10,58.8,0.18,0.3,19.0,0,0,0,1.7,0.1,1.3,1.3,3,3,100.0,1,1.0,1.0,0,0,0,6,15,40.0,25,2,44.0,36.2,10,50.0,38.2,17,1,5.9,0,5.3,2023-2024,Liverpool
12,2023-11-25,12:30,Matchweek 13,Sat,Away,D,1.0,1.0,Manchester City,0.6,1.3,41.0,53289.0,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,,1,8,3,37.5,0.13,0.33,15.9,0,0,0,0.6,0.07,0.4,0.4,5,4,80.0,0,1.8,0.8,0,0,0,1,12,8.3,42,2,19.0,26.8,13,38.5,32.7,15,0,0.0,1,14.0,2023-2024,Liverpool
13,2023-12-03,14:00,Matchweek 14,Sun,Home,W,4.0,3.0,Fulham,2.1,1.2,61.0,50124.0,Virgil van Dijk,4-3-3,Stuart Attwell,Match Report,,3,26,12,46.2,0.12,0.25,18.9,1,0,0,2.1,0.09,0.9,0.9,5,2,40.0,0,1.8,-1.2,0,0,0,0,1,0.0,37,6,2.7,18.5,4,0.0,17.0,6,1,16.7,3,19.0,2023-2024,Liverpool
14,2023-12-06,19:30,Matchweek 15,Wed,Away,W,2.0,0.0,Sheffield Utd,1.7,1.0,75.0,31406.0,Virgil van Dijk,4-3-3,Simon Hooper,Match Report,,2,15,8,53.3,0.13,0.25,16.4,0,0,0,1.7,0.11,0.3,0.3,1,1,100.0,1,0.4,0.4,0,0,0,5,10,50.0,30,3,23.3,23.5,6,50.0,37.8,5,1,20.0,0,10.0,2023-2024,Liverpool
15,2023-12-09,12:30,Matchweek 16,Sat,Away,W,2.0,1.0,Crystal Palace,1.2,1.7,76.0,25103.0,Virgil van Dijk,4-3-3,Andy Madley,Match Report,,2,14,2,14.3,0.14,1.0,17.4,0,0,0,1.2,0.09,0.8,0.8,4,3,100.0,0,1.6,0.6,1,0,0,1,5,20.0,33,6,15.2,23.0,2,0.0,14.5,16,1,6.3,0,9.0,2023-2024,Liverpool
16,2023-12-17,16:30,Matchweek 17,Sun,Home,D,0.0,0.0,Manchester Utd,2.3,0.8,68.0,57158.0,Virgil van Dijk,4-3-3,Michael Oliver,Match Report,,0,34,8,23.5,0.0,0.0,17.7,0,0,0,2.3,0.07,-2.3,-2.3,1,1,100.0,1,0.1,0.1,0,0,0,1,2,50.0,38,4,5.3,21.0,3,0.0,18.0,2,0,0.0,0,11.0,2023-2024,Liverpool
