,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,att (gk),thr,launch%,avglen,att,launch%,avglen,opp,stp,stp%,#opa,avgdist,totdist,prgdist,ast,xag,xa,kp,1/3,ppa,crspa,prgp,live,dead,tb,sw,crs,ti,ck,in,out,str,off,blocks,sca,passlive,passdead,to,fld,def,gca,passlive,passdead,to,fld,def,tkl,tklw,def 3rd,mid 3rd,att 3rd,tkl,tkl%,lost,pass,int,tkl+int,clr,err,touches,def pen,att pen,succ,succ%,tkld,tkld%,carries,prgc,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,pkwon,pkcon,og,recov,won,won%,season,team
0,2019-08-24,18:00,Matchweek 1,Sat,Away,W,1.0,0.0,Parma,1.4,0.3,61.0,20073.0,Giorgio Chiellini,4-3-3,Fabio Maresca,Match Report,,1.0,14.0,4.0,28.6,0.07,0.25,17.9,1.0,0.0,0.0,1.4,0.1,-0.4,-0.4,2.0,2.0,100.0,1.0,0.3,0.3,0.0,0.0,0.0,5.0,9.0,55.6,23.0,8.0,34.8,34.6,4.0,25.0,30.0,10.0,0.0,0.0,2.0,16.5,7974.0,2713.0,1.0,1.3,1.1,11.0,56.0,8.0,1.0,55.0,519.0,44.0,0.0,6.0,27.0,18.0,8.0,3.0,3.0,0.0,1.0,8.0,25.0,19.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,10.0,6.0,1.0,7.0,41.2,10.0,4.0,9.0,26.0,15.0,0.0,661.0,46.0,20.0,16.0,72.7,6.0,27.3,438.0,27.0,7.0,18.0,8.0,477.0,54.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,50.0,10.0,55.6,2019-2020,Juventus
1,2019-08-31,20:45,Matchweek 2,Sat,Home,W,4.0,3.0,Napoli,1.8,1.4,45.0,39203.0,Leonardo Bonucci,4-3-3,Daniele Orsato,Match Report,,3.0,12.0,7.0,58.3,0.25,0.43,17.9,0.0,0.0,0.0,1.8,0.16,1.2,1.2,7.0,4.0,57.1,0.0,1.9,-1.1,0.0,0.0,0.0,4.0,9.0,44.4,15.0,2.0,40.0,33.5,6.0,50.0,40.5,11.0,0.0,0.0,0.0,2.0,6748.0,2305.0,2.0,1.5,1.0,10.0,21.0,6.0,0.0,41.0,423.0,49.0,0.0,2.0,15.0,23.0,2.0,1.0,1.0,0.0,0.0,2.0,23.0,20.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,9.0,4.0,3.0,4.0,2.0,4.0,33.3,8.0,5.0,9.0,18.0,17.0,0.0,556.0,50.0,13.0,8.0,57.1,6.0,42.9,358.0,12.0,1.0,9.0,7.0,393.0,40.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,39.0,7.0,38.9,2019-2020,Juventus
2,2019-09-14,15:00,Matchweek 3,Sat,Away,D,0.0,0.0,Fiorentina,0.4,1.8,53.0,40000.0,Leonardo Bonucci,4-4-2,Massimiliano Irrati,Match Report,,0.0,8.0,4.0,50.0,0.0,0.0,24.7,1.0,0.0,0.0,0.4,0.05,-0.4,-0.4,5.0,5.0,100.0,1.0,1.8,1.8,0.0,0.0,0.0,4.0,6.0,66.7,24.0,8.0,20.8,29.3,12.0,8.3,21.1,17.0,0.0,0.0,1.0,21.0,7330.0,2547.0,0.0,0.2,0.4,3.0,27.0,8.0,1.0,31.0,463.0,44.0,2.0,3.0,8.0,17.0,0.0,0.0,0.0,0.0,1.0,5.0,14.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,4.0,5.0,2.0,5.0,29.4,12.0,10.0,3.0,14.0,20.0,1.0,617.0,76.0,10.0,6.0,50.0,6.0,50.0,306.0,11.0,1.0,16.0,12.0,424.0,31.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,42.0,5.0,33.3,2019-2020,Juventus
3,2019-09-21,18:00,Matchweek 4,Sat,Home,W,2.0,1.0,Hellas Verona,1.9,1.6,59.0,39945.0,Leonardo Bonucci,4-3-3,Federico La Penna,Match Report,,2.0,20.0,2.0,10.0,0.05,0.5,20.9,1.0,1.0,1.0,1.1,0.06,0.1,-0.1,3.0,2.0,66.7,0.0,0.7,-0.3,0.0,0.0,1.0,4.0,9.0,44.4,30.0,8.0,26.7,31.0,7.0,14.3,14.9,16.0,1.0,6.3,1.0,10.0,7954.0,2952.0,1.0,1.0,0.7,19.0,30.0,13.0,2.0,35.0,509.0,48.0,0.0,2.0,15.0,20.0,2.0,1.0,0.0,0.0,1.0,9.0,42.0,36.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,15.0,10.0,6.0,6.0,3.0,6.0,40.0,9.0,4.0,6.0,21.0,20.0,1.0,656.0,71.0,27.0,10.0,76.9,3.0,23.1,433.0,25.0,5.0,14.0,7.0,464.0,35.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,53.0,21.0,77.8,2019-2020,Juventus
4,2019-09-24,21:00,Matchweek 5,Tue,Away,W,2.0,1.0,Brescia,1.7,0.7,67.0,14000.0,Leonardo Bonucci,4-1-2-1-2◆,Fabrizio Pasqua,Match Report,,1.0,20.0,5.0,25.0,0.05,0.2,17.4,2.0,0.0,0.0,1.7,0.09,-0.7,-0.7,3.0,2.0,66.7,0.0,0.2,-0.8,0.0,0.0,0.0,2.0,7.0,28.6,18.0,4.0,22.2,30.2,12.0,25.0,30.6,16.0,0.0,0.0,2.0,15.0,10463.0,3458.0,0.0,0.6,0.9,12.0,35.0,11.0,4.0,53.0,685.0,51.0,3.0,12.0,12.0,20.0,3.0,2.0,0.0,0.0,2.0,6.0,36.0,29.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,4.0,7.0,2.0,5.0,35.7,9.0,9.0,6.0,19.0,16.0,1.0,844.0,57.0,25.0,7.0,63.6,4.0,36.4,599.0,21.0,6.0,18.0,7.0,648.0,53.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,49.0,7.0,46.7,2019-2020,Juventus
5,2019-09-28,15:00,Matchweek 6,Sat,Home,W,2.0,0.0,SPAL,2.0,0.2,67.0,38995.0,Leonardo Bonucci,4-1-2-1-2◆,Marco Piccinini,Match Report,,2.0,21.0,10.0,47.6,0.1,0.2,17.4,1.0,0.0,0.0,2.0,0.1,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,17.0,3.0,11.8,26.9,3.0,0.0,18.0,6.0,0.0,0.0,2.0,24.5,9332.0,3098.0,2.0,1.8,1.5,17.0,64.0,13.0,5.0,64.0,665.0,58.0,5.0,5.0,23.0,31.0,13.0,3.0,3.0,0.0,3.0,8.0,41.0,32.0,2.0,3.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,15.0,10.0,3.0,8.0,4.0,4.0,28.6,10.0,7.0,7.0,22.0,15.0,0.0,820.0,36.0,24.0,12.0,57.1,9.0,42.9,569.0,30.0,6.0,8.0,11.0,622.0,64.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,56.0,9.0,60.0,2019-2020,Juventus
6,2019-10-06,20:45,Matchweek 7,Sun,Away,W,2.0,1.0,Inter,1.5,1.6,49.0,75923.0,Leonardo Bonucci,4-3-1-2,Gianluca Rocchi,Match Report,,2.0,18.0,6.0,33.3,0.11,0.33,20.2,2.0,0.0,0.0,1.5,0.09,0.5,0.5,3.0,2.0,100.0,0.0,1.7,0.7,1.0,0.0,0.0,2.0,3.0,66.7,15.0,6.0,13.3,28.0,6.0,16.7,27.5,14.0,2.0,14.3,2.0,16.0,7383.0,2563.0,2.0,1.2,0.6,11.0,45.0,8.0,1.0,42.0,453.0,55.0,2.0,9.0,14.0,23.0,2.0,1.0,1.0,0.0,2.0,9.0,32.0,21.0,1.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,11.0,6.0,5.0,4.0,2.0,5.0,31.3,11.0,10.0,11.0,22.0,18.0,1.0,628.0,65.0,13.0,13.0,72.2,5.0,27.8,321.0,14.0,3.0,8.0,10.0,426.0,42.0,3.0,0.0,0.0,9.0,0.0,1.0,0.0,47.0,10.0,62.5,2019-2020,Juventus
7,2019-10-19,20:45,Matchweek 8,Sat,Home,W,2.0,1.0,Bologna,2.0,0.9,65.0,40461.0,Leonardo Bonucci,4-3-1-2,Massimiliano Irrati,Match Report,,2.0,23.0,10.0,43.5,0.09,0.2,17.3,1.0,0.0,0.0,2.0,0.09,0.0,0.0,2.0,1.0,50.0,0.0,0.9,-0.1,0.0,0.0,0.0,2.0,3.0,66.7,16.0,3.0,12.5,21.3,6.0,16.7,22.2,17.0,1.0,5.9,1.0,11.0,9974.0,3497.0,0.0,1.8,1.4,17.0,55.0,14.0,2.0,60.0,597.0,59.0,0.0,9.0,24.0,23.0,8.0,3.0,2.0,0.0,1.0,5.0,40.0,32.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,13.0,5.0,3.0,3.0,7.0,6.0,37.5,10.0,3.0,6.0,19.0,16.0,1.0,742.0,54.0,39.0,8.0,53.3,7.0,46.7,577.0,23.0,9.0,4.0,7.0,562.0,59.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,42.0,9.0,56.3,2019-2020,Juventus
8,2019-10-26,15:00,Matchweek 9,Sat,Away,D,1.0,1.0,Lecce,3.6,1.1,70.0,26591.0,Leonardo Bonucci,4-3-1-2,Paolo Valeri,Match Report,,1.0,24.0,3.0,12.5,0.0,0.0,16.3,0.0,1.0,1.0,2.8,0.12,-2.6,-2.8,5.0,4.0,100.0,0.0,1.1,0.1,1.0,0.0,0.0,3.0,3.0,100.0,13.0,2.0,15.4,21.1,5.0,20.0,24.0,7.0,0.0,0.0,1.0,12.0,9726.0,3120.0,0.0,1.7,1.4,18.0,55.0,18.0,2.0,62.0,629.0,52.0,5.0,5.0,27.0,18.0,14.0,4.0,9.0,0.0,3.0,6.0,43.0,29.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,9.0,8.0,2.0,3.0,7.0,63.6,4.0,3.0,9.0,22.0,9.0,0.0,776.0,37.0,39.0,15.0,75.0,5.0,25.0,516.0,27.0,10.0,11.0,11.0,581.0,62.0,1.0,0.0,0.0,14.0,1.0,1.0,0.0,48.0,16.0,76.2,2019-2020,Juventus
9,2019-10-30,21:00,Matchweek 10,Wed,Home,W,2.0,1.0,Genoa,2.7,0.4,54.0,38732.0,Leonardo Bonucci,4-3-1-2,Antonio Giua,Match Report,,2.0,26.0,10.0,38.5,0.04,0.1,21.0,0.0,1.0,1.0,1.9,0.08,-0.7,-0.9,3.0,2.0,66.7,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,,10.0,1.0,0.0,17.2,5.0,0.0,22.2,7.0,0.0,0.0,0.0,9.5,8593.0,2602.0,1.0,1.4,1.8,23.0,50.0,12.0,3.0,53.0,535.0,46.0,2.0,5.0,24.0,19.0,10.0,3.0,5.0,0.0,2.0,7.0,52.0,40.0,5.0,3.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,25.0,16.0,4.0,14.0,7.0,5.0,20.8,19.0,7.0,9.0,34.0,13.0,1.0,704.0,30.0,32.0,14.0,70.0,6.0,30.0,475.0,28.0,8.0,15.0,9.0,507.0,53.0,5.0,1.0,1.0,24.0,1.0,0.0,0.0,52.0,10.0,52.6,2019-2020,Juventus
10,2019-11-02,20:45,Matchweek 11,Sat,Away,W,1.0,0.0,Torino,1.2,0.4,58.0,26664.0,Leonardo Bonucci,4-3-1-2,Daniele Doveri,Match Report,,1.0,19.0,10.0,52.6,0.05,0.1,17.2,1.0,0.0,0.0,1.2,0.07,-0.2,-0.2,4.0,4.0,100.0,1.0,0.3,0.3,0.0,0.0,0.0,4.0,7.0,57.1,21.0,8.0,23.8,33.0,5.0,40.0,26.4,18.0,1.0,5.6,3.0,16.6,6393.0,2341.0,1.0,1.0,1.0,15.0,32.0,11.0,1.0,37.0,385.0,51.0,3.0,3.0,18.0,17.0,6.0,2.0,2.0,1.0,3.0,8.0,31.0,20.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,20.0,17.0,8.0,9.0,3.0,6.0,35.3,11.0,4.0,7.0,27.0,25.0,1.0,557.0,54.0,27.0,7.0,63.6,4.0,36.4,338.0,19.0,6.0,19.0,7.0,352.0,37.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,42.0,17.0,48.6,2019-2020,Juventus
